smiles,logP,penalized_logP,qed,3pbl_docking,SA
CCNC(=O)CS(=O)(=O)c1ncc[n-]1,-1.0513999999999997,-3.3605062245859365,0.6930757250894485,-5.1,3.9561376707123808
CC(C)(C)n1cc(NC(=O)c2ccc(-n3ccnc3)nc2)cn1,2.4711,0.7758329821405265,0.8058805610466019,-7.4,2.5548964593643646
O=C(CN1CCO[C@H](c2ccccc2)C1)N1CCCc2ccccc21,3.0393000000000017,1.1679287377674226,0.8636100666326425,-9.5,2.558484868426561
O=C(N1CC[C@@H]2OCCC[C@H]2C1)C1(c2ccc(F)cc2F)CCCC1,3.8041000000000023,0.7426686968013068,0.8126559871597667,-9.4,3.3587133580961757
C=CCN(Cc1cccs1)C(=O)N[C@@H](C)C(=O)N1CCCCC1,2.846700000000001,0.7025191755205473,0.8128794901618117,-7.4,2.8347772817630137
Nc1nc(Cl)cc(Sc2nnnn2C2CCCCC2)n1,2.3551,0.5070528678856476,0.8690627808896639,-7.8,2.711681047380827
COc1ccc(-n2c(S[C@@H](C)C(=O)Nc3c(C)cccc3C)nnc2-c2ccncc2)cc1,5.074040000000004,2.4463036589070386,0.3885163245595154,-6.8,2.676270793895222
Cc1ccccc1-c1nnc(S[C@@H](C)C(=O)Nc2ccc(Cl)cc2)o1,4.817720000000003,2.562118200210074,0.6492862538332168,-8.8,2.4303692583419387
O=C(Nc1cccc(F)c1)N[C@@H]1C=C[C@@H](C(=O)[O-])C1,0.6417999999999995,-1.7641603210140844,0.7851926138286418,-7.7,3.609681856445502
Cc1cc(C)cc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCC3)c1,3.079340000000001,1.483306072414831,0.7220894418563937,-8.8,2.3185823398555723
Cc1cc(C[NH+]2CCC[C@H]3CCC[C@@H]32)ccc1-n1cncn1,1.9231199999999995,-1.9704367611450284,0.9392743309810828,-8.3,4.527888552279912
N#Cc1cc([N+](=O)[O-])ccc1NCc1ccon1,2.06658,0.4792662237794215,0.6514358843069743,-6.8,2.5668814893403322
CCN1C(=O)/C(=C\c2ccc(OCC(=O)Nc3ccccc3)c(OC)c2)NC1=S,2.7902000000000005,1.3899853768778143,0.5388209797222382,-8.4,2.228116891502463
Cc1nc(COc2ccc(CN3CCNC(=O)C[C@H]3c3ccccc3)cc2)no1,3.020220000000002,-2.668984132969056,0.694586059930076,-9.5,2.8463748702686384
C[C@@H](NC(=O)N(C)Cc1ccc(Cl)s1)[C@@H]1CCCO1,3.110400000000002,0.4084310375501591,0.928298241276984,-6.3,3.23376400448614
CCc1c(C)nc(N[C@@H](C)CC)n2c(=O)[nH]nc12,1.4988199999999996,-0.9629586812977212,0.8606778687173992,-5.9,3.439993222185999
CCOc1c(CNC(=O)[C@H]2CCCC[C@@H]2C(=O)[O-])cccc1OC,1.2663999999999995,-0.814499609599149,0.8110898750059559,-7.9,3.1807621187912964
Nc1c(C(=O)Nc2ccccc2[N+](=O)[O-])sc2[nH+]c(N3CCOCC3)c3c(c12)CCCC3,3.1735000000000024,0.3666531950113399,0.4607691707895378,-8.9,3.3053719430648334
C[NH+](C)[C@@H]1CCC[C@@H](NC(=O)NC2CCN(S(=O)(=O)C3CC3)CC2)C1,-0.3020999999999962,-2.991771518442928,0.618660247502204,-7.9,4.084668625654704
Cc1ccccc1[C@@H]([NH2+]CCCS(C)(=O)=O)C1CC1,1.4442200000000005,-1.345823942420596,0.7695177265130786,-7.1,3.727744026278197
O=C(Cn1c(=O)oc2ccccc21)NC[C@@H](c1ccco1)[NH+]1CCCCC1,1.1138,-1.7823191775605844,0.6811859313906696,-8.9,3.899658828278314
Cc1ocnc1CNC(=O)c1c(F)cccc1Cl,2.70552,1.0078199295104773,0.93111819117321,-7.1,2.497769579838069
Cc1ccc2nc(CNc3cc4c(cc3Cl)OCCO4)cc(=O)n2c1,3.03962,1.2842880711483673,0.7801500583732441,-9.4,2.4615570054074123
C[C@@H](OC(=O)c1cc[nH]n1)C(=O)N1c2ccccc2Sc2ccccc21,3.784500000000002,0.8969688290078395,0.7149989106447762,-7.3,3.2185214834599423
